Data URN,Department,Date,Mode of Transport,Estimated Mileage (miles),Estimated CO2EQ
IL656654,MathAndStats,14/3/23,train,2,42
JK363220,Meterology,5/7/21,bus,41,43
CN100122,Walker,15/2/22,bus,2,27
JI621313,MathAndStats,5/8/21,train,27,8
ZJ491915,ComputerScience,6/12/21,train,96,43
MI991450,ComputerScience,28/5/22,car,15,45
ER550060,Walker,10/11/23,other,22,31
KR142233,Meterology,17/5/23,bus,91,27
DX922653,Meterology,31/8/23,taxi,66,15
PM773914,Walker,8/11/23,bus,33,16
OK735877,ComputerScience,25/11/22,train,4,12
PL907133,MathAndStats,18/10/23,bus,38,16
WQ727881,Walker,17/5/23,car,35,22
DR453168,Meterology,24/12/21,taxi,71,27
JI637631,ComputerScience,23/8/21,car,42,21
RM409139,Walker,8/12/22,car,25,39
QN737054,MathAndStats,30/12/21,other,50,19
YW575747,Meterology,26/6/21,train,6,30
GV308696,Walker,31/1/23,bus,34,9
QQ584568,MathAndStats,9/7/22,train,12,24
DR947456,MathAndStats,15/12/23,other,38,34
FZ571501,MathAndStats,3/6/22,car,72,50
YR824808,Meterology,23/8/22,train,97,27
VF562893,Walker,21/3/23,bus,25,11
GL380136,Meterology,2/6/21,train,15,14
NW237460,Walker,6/5/23,taxi,13,36
SJ434635,ComputerScience,29/4/23,car,79,21
HX232691,MathAndStats,23/6/22,other,23,36
AL585490,ComputerScience,5/1/21,bus,46,7
MK259826,ComputerScience,30/7/23,car,82,36
SH871934,Meterology,12/7/22,train,14,21
OQ093594,Meterology,14/7/22,train,23,21
BV211667,MathAndStats,11/7/22,taxi,11,40
SS816693,Walker,28/10/21,car,84,20
SA256196,Walker,31/7/21,car,50,13
DI255786,MathAndStats,3/7/21,car,75,12
BH370449,Walker,23/1/22,taxi,99,35
JU917734,Meterology,13/1/23,car,75,33
VQ462412,Walker,4/9/23,taxi,12,38
FI150074,Walker,17/11/22,train,40,21
MX822280,Meterology,1/10/21,other,25,48
BW111843,Walker,29/5/21,train,24,27
MJ499468,Walker,12/6/21,train,86,20
LD896930,Walker,17/7/21,car,44,47
QI741994,MathAndStats,7/12/23,car,37,43
YT610300,ComputerScience,6/6/21,train,67,34
BI740244,Meterology,25/3/23,train,12,26
OM912561,MathAndStats,6/6/22,taxi,51,48
PA384310,MathAndStats,29/2/23,car,75,39
ZW765926,Meterology,9/11/22,other,7,29
CT151731,MathAndStats,17/2/21,car,84,6
ZZ565876,ComputerScience,8/8/21,train,54,46
XP223160,Walker,8/4/23,taxi,25,11
GC126485,ComputerScience,22/5/22,bus,43,27
MZ317021,Meterology,19/2/22,other,100,46
YK309888,Meterology,19/4/22,bus,54,31
XL614174,Meterology,20/7/21,train,22,23
TA212033,Walker,26/1/22,car,9,44
MH254470,Walker,26/4/23,train,73,10
YE607352,ComputerScience,6/11/21,car,78,49
MM037341,Meterology,15/4/21,bus,47,17
DN767044,ComputerScience,2/4/23,car,45,17
BE473846,Walker,30/7/21,train,67,13
FZ329060,ComputerScience,6/1/22,bus,27,38
DM850019,MathAndStats,24/8/22,train,93,31
BD015809,MathAndStats,4/3/22,train,37,48
GT899793,Walker,17/2/21,bus,44,17
GK140734,ComputerScience,25/10/22,other,42,2
OJ389150,Meterology,19/5/23,car,90,3
DK018720,ComputerScience,25/5/21,other,60,49
EB793226,ComputerScience,14/3/21,train,76,18
FA903644,Meterology,31/1/23,taxi,71,40
SP893411,MathAndStats,2/3/22,other,93,33
GG647231,Meterology,15/1/21,bus,72,29
HC695397,MathAndStats,25/9/22,car,74,10
WS513864,Walker,14/5/21,taxi,4,28
CJ809611,MathAndStats,21/10/22,taxi,72,34
OX524352,Walker,27/3/21,train,80,47
IM224533,ComputerScience,22/9/23,car,90,44
FU530135,Walker,9/5/22,taxi,82,17
RY486043,ComputerScience,22/1/22,bus,74,9
ER797832,Walker,10/4/22,taxi,31,11
CH626884,ComputerScience,18/1/22,taxi,26,45
QC099927,MathAndStats,24/10/22,bus,26,16
YT129161,ComputerScience,1/9/21,car,53,34
YG706409,ComputerScience,29/1/23,bus,75,19
OX477439,MathAndStats,23/9/22,taxi,27,8
IH777685,MathAndStats,29/10/22,bus,52,7
IB840062,Meterology,19/9/23,other,18,17
QK610159,ComputerScience,1/10/21,train,21,41
MH614674,Meterology,29/6/22,car,34,31
NW519408,Meterology,25/11/22,taxi,79,35
KY333868,ComputerScience,13/9/23,train,48,23
FX596940,Walker,24/10/22,other,64,44
WD895682,Meterology,2/10/21,car,36,12
SO361336,Walker,16/1/23,car,67,1
MJ034424,Meterology,5/10/23,taxi,17,41
LX244292,Walker,25/7/23,bus,14,6
JH947104,MathAndStats,9/2/22,taxi,61,3
CK007544,ComputerScience,10/2/23,taxi,33,45
